FID,Id,Flood_poi,NEAR_FID,NEAR_DIST,DEM_FINAL,Slope,Aspect,Curvature
202,0,1,14,0.000000000000000,2094.5400391,24.0610008,339.4379883,0.2161140
203,0,1,15,0.000000000000000,2355.6000977,41.2514992,269.8139954,-0.8716390
204,0,1,15,0.000000000000000,2441.1101074,31.8013992,264.5989990,-1.4808400
205,0,1,15,0.000000000000000,2123.1201172,37.4896011,165.3910065,-1.4764301
206,0,1,15,0.000000000000000,2123.1201172,37.4896011,165.3910065,-1.4764301
207,0,1,21,0.000000000000000,3301.5400391,15.4366999,150.7070007,-0.5602360
208,0,1,21,0.000000000000000,3136.8000488,25.0398006,28.7296009,-3.3104000
209,0,1,21,0.000000000000000,2999.6398926,26.0480003,313.8290100,0.6319660
210,0,1,21,0.000000000000000,2393.8701172,26.4664001,37.3647003,-1.0840200
211,0,1,21,0.000000000000000,2511.2700195,57.2574997,165.4539948,-0.8277000
212,0,1,21,0.000000000000000,2511.2700195,57.2574997,165.4539948,-0.8277000
213,0,1,4,0.000000000116415,2550.0400391,54.9733009,104.1809998,1.2224500
214,0,1,4,0.000000000116415,2158.7900391,26.3731003,119.0759964,0.5241280
215,0,1,4,0.000000000116415,2027.1999512,6.2400298,239.1159973,-2.8458900
216,0,1,4,472.848936304000006,2468.3701172,19.8717995,264.4880066,-1.1223100
217,0,1,4,0.000000000116415,2032.3000488,23.1606007,308.2250061,0.4042250
218,0,1,4,265.611226986000020,2252.3601074,41.9654007,313.7550049,0.9963590
219,0,1,4,265.611226986000020,2252.3601074,41.9654007,313.7550049,0.9963590
220,0,1,4,0.000000000116415,2158.7900391,26.3731003,119.0759964,0.5241280
221,0,1,4,2042.604254840000067,2504.8999023,35.7458000,234.5260010,-0.3553390
222,0,1,4,0.000000000116415,2550.0400391,54.9733009,104.1809998,1.2224500
223,0,1,21,0.000000000000000,2194.9599609,65.9084015,284.0230103,-4.5890999
224,0,1,4,0.000000000232831,2229.9399414,13.5269003,239.5449982,1.8758900
225,0,1,4,249.669864732000008,2517.9899902,52.7671013,304.1610107,-0.3016430
226,0,1,9,0.000000000000000,3242.1201172,28.4151993,142.0030060,-2.5458200
227,0,1,9,0.000000000000000,3747.8798828,28.5489998,19.6021004,0.0126509
228,0,1,9,0.000000000000000,3747.8798828,28.5489998,19.6021004,0.0126509
229,0,1,9,0.000000000116415,3896.4699707,42.4452019,276.3030090,1.5641800
230,0,1,9,0.000000000116415,3896.4699707,42.4452019,276.3030090,1.5641800
231,0,1,2,0.000000000465661,3596.5400391,19.3122997,264.4519958,-0.8657730
232,0,1,2,0.000000000000000,3387.5800781,7.0361500,286.9110107,-2.1119101
233,0,1,2,0.000000000465661,3274.4399414,10.1674004,43.2224998,-0.3222100
234,0,1,2,0.000000000000000,3034.3999023,32.0190010,173.1020050,-0.7488710
235,0,1,18,0.000000000000000,2684.4199219,42.3406982,205.8419952,1.8149400
236,0,1,15,0.000000000000000,2441.1101074,31.8013992,264.5989990,-1.4808400
237,0,1,15,0.000000000000000,2408.7199707,45.7411003,195.8619995,-1.6549300
238,0,1,15,0.000000000116415,2555.0400391,30.4414005,12.4141998,0.7736600
239,0,1,18,0.000000000000000,2908.4799805,8.7221899,274.5130005,0.0318259
240,0,1,18,0.000000000000000,2908.4799805,8.7221899,274.5130005,0.0318259
241,0,0,18,857.251714504999995,3502.9299316,5.5258999,351.9360046,0.2454930
242,0,1,15,0.000000000000000,3005.3400879,24.1693001,337.6220093,-0.1723240
243,0,1,18,0.000000000000000,2684.4199219,42.3406982,205.8419952,1.8149400
244,0,1,15,1341.047768229999974,4080.1499023,25.0233002,71.9255981,-2.0383501
245,0,1,16,0.000000000000000,3431.6201172,42.6677017,298.9779968,0.1156900
246,0,1,15,0.000000000465661,3107.4599609,40.7733994,7.9238801,0.6740620
247,0,1,15,0.000000000000000,3005.3400879,24.1693001,337.6220093,-0.1723240
248,0,1,15,139.383957976999994,3205.5300293,43.2182999,340.7099915,1.9015100
249,0,1,5,0.000000000465661,1649.5799561,34.2067986,30.7313004,1.7543100
250,0,1,5,1343.300634219999893,2263.9099121,44.5177002,87.8927994,2.2583699
251,0,1,5,1008.476800690000005,1965.1800537,30.2868996,319.4519958,-1.4387000
252,0,1,5,0.000000000000000,1575.4300537,23.1945000,104.9000015,-2.1618600
253,0,1,5,137.053253632999997,1602.5000000,9.6197701,180.7559967,-2.2163501
254,0,1,22,0.000000000520625,2006.0200195,34.4319992,49.2043991,0.1958010
255,0,1,29,0.000000000000000,1882.1199951,40.5830002,216.4239960,-1.7803700
256,0,1,29,0.000000000000000,1552.7099609,33.2280006,60.8153992,1.0046800
257,0,1,29,0.000000000000000,1882.1199951,40.5830002,216.4239960,-1.7803700
258,0,1,0,0.000000000000000,1217.0899658,8.0869799,340.5910034,-0.5337720
259,0,1,0,0.000000000000000,1217.0899658,8.0869799,340.5910034,-0.5337720
260,0,1,28,0.000000000000000,1319.8499756,10.9919004,237.0839996,1.4849100
261,0,1,28,0.000000000000000,1429.8299561,36.1572990,223.6210022,0.6353920
262,0,1,0,0.000000000000000,1217.0899658,8.0869799,340.5910034,-0.5337720
263,0,1,28,0.000000000000000,1319.8499756,10.9919004,237.0839996,1.4849100
264,0,1,0,0.000000000000000,1422.8900146,41.8552017,188.8269958,1.3065799
265,0,1,0,0.000000000000000,1422.8900146,41.8552017,188.8269958,1.3065799
266,0,1,23,0.000000000520625,1508.4499512,32.0191994,228.9640045,-0.3738810
267,0,1,23,0.000000000000000,1577.6199951,27.7437000,153.4309998,-0.0338072
268,0,1,0,0.000000000000000,1422.8900146,41.8552017,188.8269958,1.3065799
269,0,1,0,0.000000000116415,1401.9100342,35.9323997,81.6426010,-8.3210297
270,0,1,27,0.000000000000000,1162.1300049,10.4581003,235.5870056,0.0067811
271,0,1,27,0.000000000000000,1226.3199463,9.0508099,203.4160004,-0.4347570
272,0,1,27,0.000000000000000,1214.7099609,31.4640999,52.6697998,-0.8085440
273,0,1,0,0.000000000116415,1095.6099854,6.8239398,160.7169952,0.7801620
274,0,1,0,0.000000000465661,1169.3699951,9.3275499,120.1119995,0.0853605
275,0,1,0,397.475554148000015,1105.0000000,1.2108901,194.4909973,-0.4470320
276,0,1,0,0.000000000000000,1119.5600586,16.7254009,52.4986000,-2.8625400
277,0,1,0,0.000000000000000,1027.7600098,29.5673008,74.6428986,-1.9414200
278,0,1,0,0.000000000000000,1081.7600098,13.2468004,212.4920044,-0.3713670
279,0,1,0,394.823147568000024,1132.9300537,1.9695899,191.5590057,0.3775080
280,0,1,0,0.000000000000000,1074.6999512,15.1950998,191.7030029,-0.3825080
281,0,0,24,7253.353178219999791,1925.5000000,44.0761986,60.2641983,-1.7837900
282,0,0,24,7170.662006219999967,1962.2399902,22.7026997,84.1242981,-0.6187730
283,0,0,24,8103.569217860000208,1922.2600098,26.3519001,355.2980042,-0.3712530
284,0,0,24,9044.163785830000052,1657.0699463,14.6583004,27.4386997,-0.2494170
285,0,0,24,8951.853939000000537,1750.8800049,28.3066998,292.2919922,2.2878001
286,0,0,24,8977.974150939999163,2008.9100342,34.0028000,16.1266003,-0.4256680
287,0,0,24,6831.850444059999973,2192.4599609,42.2099991,192.4040070,0.9303830
288,0,0,24,3527.013045990000137,2033.3299561,15.6989002,174.7579956,1.5299100
289,0,0,24,3341.412409600000046,1488.3599854,30.8722992,136.7890015,-0.6847400
290,0,0,25,3435.293201240000144,1577.5699463,10.1484003,217.9470062,-0.1923690
291,0,0,25,7925.281683569999586,1986.0400391,21.9696007,348.6799927,-0.2119070
292,0,0,28,9401.666544649999196,2993.7700195,23.8663998,263.3240051,-0.5407360
293,0,0,28,11049.346487299999353,2814.2099609,34.6712990,62.3199997,0.2531430
294,0,0,29,9863.144366820000869,2781.4799805,26.0792999,176.7310028,-1.6278700
295,0,0,29,8860.896763099999589,2464.2800293,31.2863998,311.3229980,-0.9082650
296,0,0,28,8709.150707419999890,2435.5400391,18.5242996,211.4949951,0.4317550
